"customer_id","recency_days","frequency","total_monetary"
17592,713,2,3190.88
372,1193,3,3012.48
3251,65,4,2764.39
14135,736,3,2746.05
17547,198,1,2680.64
6322,1024,4,2599.01
3640,522,2,2563.41
503,1200,5,2555.75
9912,206,3,2553.41
13621,677,2,2487.41
14495,294,1,2405.95
5752,63,6,2394.05
13894,62,5,2386.11
11283,251,3,2385.33
11172,231,4,2317.76
10342,131,3,2225.35
17016,35,5,2219.31
16232,117,6,2208.57
8123,476,4,2189.77
9573,92,6,2184.9
2223,220,2,2131.82
12502,220,2,2130.68
16148,1037,3,2100.63
16565,368,4,2084.11
10266,312,2,2083.81
8355,176,4,2082.19
4647,826,2,2065.72
6242,283,4,2011.49
4900,1367,4,2000.93
4584,311,2,1982.86
4302,649,3,1959.98
7032,1217,2,1957.69
6422,492,4,1937.37
11879,1041,2,1936.84
19684,1080,3,1932.35
18881,607,2,1922.52
3769,149,4,1895.5
14819,616,5,1879.01
15858,254,3,1866.46
13725,696,1,1864.84
8857,419,3,1854.87
9842,388,2,1849.36
13437,1209,2,1843.31
18426,364,2,1842.65
12576,260,4,1814.47
4406,485,3,1800.83
6166,51,6,1795.76
18562,69,7,1783.07
12997,158,4,1772.02
8845,516,3,1737.88
6814,145,7,1730.34
13282,75,7,1718.26
15435,32,5,1715.16
16797,383,6,1710.91
16241,149,6,1702.64
4414,313,3,1690.55
6425,219,6,1687.29
2986,571,5,1670.98
1625,410,1,1667.97
12438,733,4,1666.74
18646,1654,3,1656.13
8521,512,5,1654.47
13701,729,4,1649.67
13628,1311,2,1645.45
12832,226,4,1640.65
13389,1437,3,1629.94
117,30,5,1628.61
14195,771,3,1623.28
10493,50,7,1615.84
19786,78,6,1601.05
17246,80,5,1599.95
17151,1525,4,1598.69
5498,450,4,1593.67
13513,1,6,1591.95
15108,393,5,1585.64
6510,1500,2,1583.33
14088,586,6,1581.25
2923,224,4,1578.05
10895,436,5,1577.24
14638,1153,1,1575.98
830,1594,3,1561.37
14540,28,6,1557.16
8687,94,6,1555.5
18696,372,6,1553.98
12117,810,3,1553.58
4077,91,3,1533.45
19783,255,3,1531.63
10502,74,4,1528.97
109,139,1,1518.16
5091,131,3,1516.42
18092,60,3,1505.86
12402,1426,2,1505.12
7815,534,3,1497.1
1406,243,5,1493.75
1286,684,1,1484.96
12974,1047,5,1476.92
12646,51,4,1463.58
16524,1356,2,1460.9
5450,169,6,1460.11
12993,147,5,1456.99
1189,1057,3,1456.0
14657,990,2,1455.5
15647,1078,4,1455.5
3442,1554,1,1452.37
5592,82,3,1451.44
4656,500,5,1447.21
12930,1588,4,1445.31
8374,288,6,1444.43
9673,371,6,1443.53
2769,7,4,1437.47
8431,314,6,1433.7
19568,144,4,1432.92
17527,1024,2,1430.31
5199,35,5,1427.69
18335,196,4,1425.29
19929,335,5,1425.13
18880,1405,2,1424.62
19643,27,4,1423.92
17042,142,6,1423.73
847,6,5,1423.46
9538,690,8,1417.23
7117,1,3,1413.37
10725,297,2,1411.88
15522,484,5,1411.11
9575,1165,5,1408.83
7064,641,3,1403.91
11621,872,3,1401.04
19494,605,7,1399.0
9735,1065,2,1396.26
6851,368,3,1395.01
6068,1125,4,1394.5
6828,836,4,1393.1
5329,840,3,1392.45
8385,524,4,1386.37
12392,97,5,1385.16
634,109,2,1382.04
14672,262,3,1381.29
13047,259,3,1379.58
3678,149,5,1378.33
7795,912,1,1376.17
18539,199,5,1363.18
7536,420,2,1360.86
1459,302,4,1354.84
18727,1505,1,1352.61
7977,72,5,1348.87
12912,308,3,1347.97
8689,135,8,1344.22
13632,478,4,1341.97
6543,516,6,1338.35
18551,601,3,1336.66
16138,478,4,1336.64
1018,923,5,1331.47
8714,1323,4,1330.88
13854,1436,4,1330.76
5220,422,3,1329.66
19275,51,7,1328.12
2974,3,5,1325.64
12905,626,5,1324.32
3783,137,5,1315.55
455,287,6,1315.51
5258,1255,5,1309.03
1551,198,3,1308.97
9018,477,2,1308.4
11557,981,4,1306.34
14279,391,4,1300.47
10547,883,5,1299.03
9006,127,5,1295.61
17692,214,1,1293.76
13483,59,6,1293.53
4959,177,4,1292.44
6901,113,6,1291.19
13130,722,1,1285.0
11236,202,4,1284.92
12508,375,6,1282.4
816,518,3,1281.82
2078,899,3,1280.55
2980,518,3,1280.55
15475,416,6,1279.62
1997,393,5,1277.07
395,350,5,1276.08
2574,690,5,1275.26
6852,307,3,1274.11
12210,199,2,1272.43
18919,143,5,1269.3
16159,81,6,1268.15
1165,1123,3,1267.83
18805,744,4,1267.07
2609,322,1,1266.59
18436,1451,5,1266.42
14168,368,4,1265.69
17281,636,4,1265.43
2812,669,3,1265.23
1102,306,3,1259.65
5041,917,5,1254.25
6430,1526,3,1253.17
7012,487,3,1251.37
15130,719,4,1251.34
14898,653,4,1250.61
10734,1598,3,1249.47
4191,359,9,1249.39
17254,371,5,1248.92
4534,62,3,1248.4
18524,3,4,1246.62
3840,321,4,1245.37
14440,524,4,1242.93
6931,733,2,1241.71
4213,388,4,1241.61
19553,806,1,1240.95
3411,235,5,1240.86
9617,87,1,1237.93
15729,530,6,1235.15
4791,385,3,1234.46
3522,15,3,1234.3
11446,173,3,1233.45
10804,419,3,1233.19
10926,61,4,1232.3
12313,2023,1,1232.29
6563,573,6,1228.41
11176,1156,3,1225.17
16432,84,3,1224.21
2561,18,3,1223.5
9718,905,3,1222.8
16095,464,4,1222.58
2971,19,5,1222.16
2710,1284,3,1221.6
7230,46,4,1219.94
19674,1488,3,1219.91
16274,623,3,1213.65
13968,331,5,1212.9
9854,88,3,1211.92
17347,143,3,1208.88
7041,1451,1,1208.79
17381,1724,2,1208.69
12139,725,3,1208.12
15245,184,3,1206.27
11780,1522,2,1203.47
18783,77,5,1202.38
10043,305,3,1198.27
11649,52,3,1197.09
11920,171,4,1196.13
1398,45,4,1195.02
7018,564,5,1191.35
4162,352,6,1189.25
16697,857,3,1186.65
13731,605,4,1186.52
16487,874,4,1185.93
6448,594,2,1185.65
8861,76,5,1185.23
13345,1777,2,1183.75
10555,35,1,1182.04
5132,231,3,1181.76
17979,443,3,1179.47
17289,125,3,1179.39
10845,383,8,1177.65
2291,107,3,1177.52
6063,459,4,1176.14
3806,464,5,1176.13
294,1020,2,1175.8
3177,239,4,1175.11
5317,75,2,1174.22
9675,1036,2,1172.27
17243,386,3,1171.57
13350,1170,2,1171.38
13716,611,3,1169.98
2965,935,2,1166.15
19743,111,4,1165.57
12213,57,3,1164.78
14616,134,7,1164.38
6951,583,2,1163.46
15029,433,4,1160.64
16635,672,4,1158.05
7761,1242,5,1154.43
4292,694,2,1153.89
16469,1066,5,1153.45
1088,85,3,1152.82
10463,837,2,1151.25
13722,413,4,1149.88
7011,340,3,1146.69
7167,13,3,1145.99
14131,259,5,1144.72
9760,1256,2,1143.78
17384,1473,2,1143.02
18515,148,4,1142.03
12565,273,5,1141.92
18664,98,3,1139.39
4167,48,5,1139.24
7197,695,5,1137.21
17083,90,6,1133.39
18257,1232,2,1133.0
15195,1818,2,1132.71
9723,195,3,1131.72
12854,265,3,1131.62
7003,322,6,1131.03
18382,187,5,1131.0
13561,1490,5,1130.65
741,42,3,1129.97
8322,25,2,1126.84
988,206,3,1126.83
3082,1011,4,1124.96
6704,651,5,1124.13
19111,778,4,1123.6
253,72,3,1123.22
2865,604,3,1123.2
12448,1824,1,1122.22
15977,227,4,1120.71
15677,846,2,1120.18
6051,400,4,1119.04
4730,158,4,1118.99
16940,222,6,1118.77
10751,145,3,1118.04
5429,101,3,1118.04
6803,396,2,1117.76
7474,258,3,1114.53
7325,1230,2,1112.24
402,329,3,1109.08
6220,79,5,1108.47
18965,50,6,1104.11
8427,1,2,1103.53
8545,150,4,1101.96
11864,202,4,1101.54
10473,392,3,1101.35
4146,62,1,1101.3
7870,87,2,1099.94
7245,19,4,1095.51
8490,878,4,1094.08
5305,171,2,1093.81
8936,760,4,1093.74
8918,729,5,1092.84
14911,149,4,1092.59
19827,1375,3,1090.99
16467,593,3,1090.84
15849,388,4,1090.82
3075,240,3,1090.59
9454,2029,1,1089.48
6892,111,4,1089.25
19222,207,3,1088.27
9182,70,6,1087.19
10536,1585,1,1086.4
19364,61,3,1086.18
4983,1017,6,1084.36
2953,541,3,1084.22
13176,996,3,1083.35
11493,253,4,1081.83
6733,326,2,1081.6
12004,680,6,1080.41
19100,891,3,1079.26
9523,429,3,1078.92
7007,29,5,1077.57
1865,371,4,1076.29
7776,228,4,1075.23
8050,801,5,1074.81
15517,504,2,1074.2
9817,707,2,1073.94
11685,11,5,1070.9
7591,107,7,1070.4
3835,628,2,1069.94
12197,453,4,1069.86
8673,639,2,1069.81
17829,500,5,1068.27
9086,811,5,1067.62
14856,774,4,1067.17
13314,485,3,1065.03
4450,482,5,1063.93
1772,27,6,1063.82
6133,703,2,1063.61
4749,864,3,1062.95
7625,104,5,1062.47
11254,285,6,1062.15
12082,32,4,1061.15
4328,227,4,1060.0
612,550,5,1058.41
11625,726,3,1056.61
1126,628,4,1056.22
9101,51,5,1055.32
15214,2077,1,1055.12
5634,178,4,1054.57
327,209,6,1054.39
16126,231,4,1054.3
7649,827,3,1051.2
12528,1086,2,1051.16
6293,794,3,1050.74
3139,586,3,1050.34
10294,3,6,1049.81
18876,1148,1,1049.68
9284,239,5,1049.26
40,190,5,1047.96
13738,323,5,1047.52
6003,1324,2,1047.26
17005,1303,1,1046.68
9449,453,3,1046.35
8979,153,3,1045.64
14917,1004,4,1045.54
3525,219,5,1045.49
14227,213,3,1044.74
7595,750,6,1043.92
12072,1825,3,1043.6
7110,551,3,1043.58
19311,632,4,1043.53
5402,84,5,1043.49
5946,883,3,1043.39
12341,616,3,1042.98
3415,357,2,1041.79
14665,109,4,1041.33
7115,1750,2,1041.19
971,654,4,1040.06
1168,247,2,1039.97
5584,875,3,1038.09
15895,1217,4,1037.88
10365,198,4,1037.77
7232,1324,2,1036.93
2244,689,3,1035.98
1633,402,3,1035.65
15039,838,2,1034.22
12969,76,3,1034.1
6144,12,4,1033.99
13124,196,2,1033.81
16047,583,2,1033.15
19415,210,4,1033.04
17068,547,5,1032.63
19555,176,3,1032.27
14115,594,2,1031.53
11960,1169,2,1031.12
18610,1913,2,1030.13
15940,221,7,1029.77
15349,1105,4,1029.46
6013,236,2,1028.03
10606,232,5,1027.1
9600,212,4,1026.48
13504,274,2,1025.87
13222,610,2,1025.1
12171,391,3,1024.29
5164,876,3,1024.22
3530,1145,3,1024.18
13218,92,5,1024.16
3179,416,3,1023.57
12839,778,1,1023.55
3360,540,4,1021.78
19398,862,3,1021.65
5865,853,6,1020.92
16946,182,2,1020.62
17117,784,3,1019.8
9542,847,4,1019.54
10928,39,7,1019.53
14439,25,4,1019.35
17948,398,3,1019.21
19982,278,2,1019.15
6375,900,2,1018.92
9413,862,3,1018.8
2226,245,6,1017.37
17639,660,3,1017.27
10829,316,6,1015.65
11842,1056,3,1014.91
6005,1182,2,1012.23
