"获取群组(Cohort)","留存月份(Month_Index)","该群组初始人数","留存活跃人数","真实留存率(Retention_Rate)"
"2020-01-01",0,499,499,1.0000
"2020-01-01",1,499,11,0.0220
"2020-01-01",2,499,11,0.0220
"2020-01-01",3,499,17,0.0341
"2020-01-01",4,499,8,0.0160
"2020-01-01",5,499,12,0.0240
"2020-01-01",6,499,16,0.0321
"2020-01-01",7,499,17,0.0341
"2020-01-01",8,499,12,0.0240
"2020-01-01",9,499,8,0.0160
"2020-01-01",10,499,10,0.0200
"2020-01-01",11,499,4,0.0080
"2020-01-01",12,499,8,0.0160
"2020-02-01",0,441,441,1.0000
"2020-02-01",1,441,5,0.0113
"2020-02-01",2,441,18,0.0408
"2020-02-01",3,441,11,0.0249
"2020-02-01",4,441,9,0.0204
"2020-02-01",5,441,12,0.0272
"2020-02-01",6,441,7,0.0159
"2020-02-01",7,441,9,0.0204
"2020-02-01",8,441,12,0.0272
"2020-02-01",9,441,18,0.0408
"2020-02-01",10,441,10,0.0227
"2020-02-01",11,441,16,0.0363
"2020-02-01",12,441,5,0.0113
"2020-03-01",0,439,439,1.0000
"2020-03-01",1,439,10,0.0228
"2020-03-01",2,439,8,0.0182
"2020-03-01",3,439,8,0.0182
"2020-03-01",4,439,9,0.0205
"2020-03-01",5,439,6,0.0137
"2020-03-01",6,439,14,0.0319
"2020-03-01",7,439,15,0.0342
"2020-03-01",8,439,9,0.0205
"2020-03-01",9,439,8,0.0182
"2020-03-01",10,439,13,0.0296
"2020-03-01",11,439,15,0.0342
"2020-03-01",12,439,13,0.0296
"2020-04-01",0,416,416,1.0000
"2020-04-01",1,416,15,0.0361
"2020-04-01",2,416,13,0.0313
"2020-04-01",3,416,10,0.0240
"2020-04-01",4,416,10,0.0240
"2020-04-01",5,416,11,0.0264
"2020-04-01",6,416,14,0.0337
"2020-04-01",7,416,10,0.0240
"2020-04-01",8,416,6,0.0144
"2020-04-01",9,416,19,0.0457
"2020-04-01",10,416,17,0.0409
"2020-04-01",11,416,8,0.0192
"2020-04-01",12,416,9,0.0216
"2020-05-01",0,441,441,1.0000
"2020-05-01",1,441,14,0.0317
"2020-05-01",2,441,11,0.0249
"2020-05-01",3,441,9,0.0204
"2020-05-01",4,441,6,0.0136
"2020-05-01",5,441,11,0.0249
"2020-05-01",6,441,9,0.0204
"2020-05-01",7,441,9,0.0204
"2020-05-01",8,441,14,0.0317
"2020-05-01",9,441,10,0.0227
"2020-05-01",10,441,12,0.0272
"2020-05-01",11,441,15,0.0340
"2020-05-01",12,441,16,0.0363
"2020-06-01",0,397,397,1.0000
"2020-06-01",1,397,12,0.0302
"2020-06-01",2,397,15,0.0378
"2020-06-01",3,397,7,0.0176
"2020-06-01",4,397,10,0.0252
"2020-06-01",5,397,8,0.0202
"2020-06-01",6,397,12,0.0302
"2020-06-01",7,397,15,0.0378
"2020-06-01",8,397,9,0.0227
"2020-06-01",9,397,6,0.0151
"2020-06-01",10,397,10,0.0252
"2020-06-01",11,397,5,0.0126
"2020-06-01",12,397,9,0.0227
"2020-07-01",0,381,381,1.0000
"2020-07-01",1,381,6,0.0157
"2020-07-01",2,381,6,0.0157
"2020-07-01",3,381,10,0.0262
"2020-07-01",4,381,13,0.0341
"2020-07-01",5,381,13,0.0341
"2020-07-01",6,381,7,0.0184
"2020-07-01",7,381,12,0.0315
"2020-07-01",8,381,8,0.0210
"2020-07-01",9,381,8,0.0210
"2020-07-01",10,381,14,0.0367
"2020-07-01",11,381,4,0.0105
"2020-07-01",12,381,10,0.0262
"2020-08-01",0,399,399,1.0000
"2020-08-01",1,399,11,0.0276
"2020-08-01",2,399,14,0.0351
"2020-08-01",3,399,12,0.0301
"2020-08-01",4,399,3,0.0075
"2020-08-01",5,399,8,0.0201
"2020-08-01",6,399,7,0.0175
"2020-08-01",7,399,9,0.0226
"2020-08-01",8,399,9,0.0226
"2020-08-01",9,399,11,0.0276
"2020-08-01",10,399,11,0.0276
"2020-08-01",11,399,9,0.0226
"2020-08-01",12,399,8,0.0201
"2020-09-01",0,376,376,1.0000
"2020-09-01",1,376,11,0.0293
"2020-09-01",2,376,6,0.0160
"2020-09-01",3,376,8,0.0213
"2020-09-01",4,376,9,0.0239
"2020-09-01",5,376,6,0.0160
"2020-09-01",6,376,11,0.0293
"2020-09-01",7,376,7,0.0186
"2020-09-01",8,376,10,0.0266
"2020-09-01",9,376,12,0.0319
"2020-09-01",10,376,10,0.0266
"2020-09-01",11,376,9,0.0239
"2020-09-01",12,376,9,0.0239
"2020-10-01",0,409,409,1.0000
"2020-10-01",1,409,4,0.0098
"2020-10-01",2,409,5,0.0122
"2020-10-01",3,409,6,0.0147
"2020-10-01",4,409,12,0.0293
"2020-10-01",5,409,5,0.0122
"2020-10-01",6,409,6,0.0147
"2020-10-01",7,409,5,0.0122
"2020-10-01",8,409,11,0.0269
"2020-10-01",9,409,12,0.0293
"2020-10-01",10,409,12,0.0293
"2020-10-01",11,409,8,0.0196
"2020-10-01",12,409,7,0.0171
"2020-11-01",0,337,337,1.0000
"2020-11-01",1,337,11,0.0326
"2020-11-01",2,337,6,0.0178
"2020-11-01",3,337,8,0.0237
"2020-11-01",4,337,8,0.0237
"2020-11-01",5,337,6,0.0178
"2020-11-01",6,337,7,0.0208
"2020-11-01",7,337,9,0.0267
"2020-11-01",8,337,4,0.0119
"2020-11-01",9,337,7,0.0208
"2020-11-01",10,337,4,0.0119
"2020-11-01",11,337,10,0.0297
"2020-11-01",12,337,10,0.0297
"2020-12-01",0,372,372,1.0000
"2020-12-01",1,372,11,0.0296
"2020-12-01",2,372,10,0.0269
"2020-12-01",3,372,15,0.0403
"2020-12-01",4,372,7,0.0188
"2020-12-01",5,372,12,0.0323
"2020-12-01",6,372,10,0.0269
"2020-12-01",7,372,7,0.0188
"2020-12-01",8,372,11,0.0296
"2020-12-01",9,372,11,0.0296
"2020-12-01",10,372,7,0.0188
"2020-12-01",11,372,7,0.0188
"2020-12-01",12,372,11,0.0296
"2021-01-01",0,365,365,1.0000
"2021-01-01",1,365,6,0.0164
"2021-01-01",2,365,9,0.0247
"2021-01-01",3,365,5,0.0137
"2021-01-01",4,365,7,0.0192
"2021-01-01",5,365,10,0.0274
"2021-01-01",6,365,8,0.0219
"2021-01-01",7,365,13,0.0356
"2021-01-01",8,365,7,0.0192
"2021-01-01",9,365,9,0.0247
"2021-01-01",10,365,5,0.0137
"2021-01-01",11,365,11,0.0301
"2021-01-01",12,365,11,0.0301
"2021-02-01",0,330,330,1.0000
"2021-02-01",1,330,9,0.0273
"2021-02-01",2,330,6,0.0182
"2021-02-01",3,330,5,0.0152
"2021-02-01",4,330,7,0.0212
"2021-02-01",5,330,10,0.0303
"2021-02-01",6,330,6,0.0182
"2021-02-01",7,330,9,0.0273
"2021-02-01",8,330,8,0.0242
"2021-02-01",9,330,9,0.0273
"2021-02-01",10,330,11,0.0333
"2021-02-01",11,330,8,0.0242
"2021-02-01",12,330,4,0.0121
"2021-03-01",0,357,357,1.0000
"2021-03-01",1,357,8,0.0224
"2021-03-01",2,357,10,0.0280
"2021-03-01",3,357,16,0.0448
"2021-03-01",4,357,11,0.0308
"2021-03-01",5,357,11,0.0308
"2021-03-01",6,357,9,0.0252
"2021-03-01",7,357,13,0.0364
"2021-03-01",8,357,7,0.0196
"2021-03-01",9,357,15,0.0420
"2021-03-01",10,357,9,0.0252
"2021-03-01",11,357,3,0.0084
"2021-03-01",12,357,10,0.0280
"2021-04-01",0,323,323,1.0000
"2021-04-01",1,323,11,0.0341
"2021-04-01",2,323,5,0.0155
"2021-04-01",3,323,13,0.0402
"2021-04-01",4,323,7,0.0217
"2021-04-01",5,323,9,0.0279
"2021-04-01",6,323,4,0.0124
"2021-04-01",7,323,9,0.0279
"2021-04-01",8,323,4,0.0124
"2021-04-01",9,323,6,0.0186
"2021-04-01",10,323,8,0.0248
"2021-04-01",11,323,7,0.0217
