"年份月份","月总订单数","月总营收额"
"2020-01",505,56560.33000000008
"2020-02",458,49653.560000000034
"2020-03",465,52010.17
"2020-04",470,54989.47000000002
"2020-05",488,51792.10000000005
"2020-06",459,50514.85999999998
"2020-07",454,47351.62999999999
"2020-08",475,50926.50000000004
"2020-09",458,52808.47999999998
"2020-10",518,56615.73000000003
"2020-11",441,46365.71999999999
"2020-12",468,52624.630000000085
"2021-01",502,52388.21999999998
"2021-02",458,49856.30000000003
"2021-03",493,54088.599999999984
"2021-04",459,54184.80000000004
"2021-05",493,53767.03000000007
"2021-06",460,53729.78000000004
"2021-07",514,59513.56000000009
"2021-08",493,53406.89999999999
"2021-09",483,50906.61
"2021-10",491,52264.91000000002
"2021-11",480,55107.77
"2021-12",505,54929.52999999998
"2022-01",501,52524.26
"2022-02",436,45866.80999999996
"2022-03",497,53283.70000000001
"2022-04",452,46260.63000000006
"2022-05",474,54594.43999999992
"2022-06",448,47371.98
"2022-07",493,55569.800000000025
"2022-08",522,60352.520000000055
"2022-09",437,49854.94000000006
"2022-10",474,52703.389999999985
"2022-11",487,52472.79000000001
"2022-12",478,50962.32999999993
"2023-01",513,59325.970000000074
"2023-02",422,44939.62000000004
"2023-03",483,53363.79999999993
"2023-04",486,50619.15000000004
"2023-05",470,52634.78000000005
"2023-06",467,55004.12000000003
"2023-07",509,58783.610000000044
"2023-08",491,52250.34999999999
"2023-09",457,50768.0900000001
"2023-10",485,54453.859999999986
"2023-11",463,52102.44000000002
"2023-12",493,57959.52000000005
"2024-01",494,53628.48000000005
"2024-02",439,49166.200000000026
"2024-03",478,50904.289999999964
"2024-04",452,48475.669999999984
"2024-05",474,50755.420000000064
"2024-06",451,49350.63000000005
"2024-07",509,55637.34000000001
"2024-08",504,59067.07000000006
"2024-09",456,49411.769999999946
"2024-10",503,55476.66000000002
"2024-11",497,54729.100000000006
"2024-12",517,60493.42000000003
"2025-01",512,61906.96000000009
"2025-02",441,50722.87000000002
"2025-03",512,57560.54999999998
"2025-04",479,49717.900000000045
"2025-05",468,54527.64999999999
"2025-06",468,52543.269999999895
"2025-07",470,48477.05000000006
"2025-08",521,59030.850000000064
"2025-09",514,58535.14999999995
"2025-10",493,57160.250000000065
