"国家","总订单数","总营收额","平均客单价"
US,6138,678615.1399999964,110.56
GB,2653,295302.7900000007,111.31
IN,2642,291411.19999999966,110.3
BR,2464,268847.510000001,109.11
FR,2188,250746.96999999988,114.6
DE,2321,247968.7900000004,106.84
MX,2022,224568.6700000005,111.06
AU,1797,199987.8100000004,111.29
CA,1651,181891.19999999984,110.17
JP,1655,179172.650000001,108.26
ES,1558,171877.83999999994,110.32
NL,1491,170382.11000000025,114.27
SG,1379,149351.26000000024,108.3
SE,1029,113542.44000000025,110.34
PL,1014,112584.98000000016,111.03
AE,913,101840.33000000031,111.54
ZA,665,79566.94999999995,119.65
