customer_id,last_order_time,recency_days,frequency,net_monetary,customer_net_profit,aov,r_score,f_score,m_score,rfm_code,segment
1,2025-06-25 16:02:53,128,2,115.39,39.41,57.695000,5,2,2,522,New / Promising
2,2025-01-02 02:48:29,302,2,68.52,18.92,34.260000,4,2,1,421,New / Promising
3,2020-07-04 07:39:11,1945,1,66.72,26.48,66.720000,1,1,1,111,Dormant
4,2023-08-01 00:50:26,822,2,279.86,95.94,139.930000,3,2,4,324,Established / Mid-value
5,2025-01-30 02:03:28,274,3,271.29,72.25,90.430000,4,3,4,434,Established / Mid-value
6,2024-11-27 15:35:22,338,4,387.40,160.71,96.850000,4,4,4,444,Champions
7,2022-09-11 17:36:57,1146,2,96.81,23.95,48.405000,2,2,2,222,Dormant
8,2020-08-08 03:07:31,1910,1,207.40,82.80,207.400000,1,1,3,113,Dormant
9,2024-05-21 13:11:41,528,1,122.51,48.76,122.510000,3,1,2,312,Established / Mid-value
10,2023-04-02 21:14:34,943,3,398.85,123.09,132.950000,2,3,4,234,High-value at Risk
12,2024-08-04 04:40:15,453,2,484.25,142.73,242.125000,4,2,5,425,New / Promising
14,2025-10-28 08:59:34,3,3,380.89,134.86,126.963333,5,3,4,534,Established / Mid-value
15,2022-05-04 07:04:40,1276,2,40.06,7.38,20.030000,2,2,1,221,Dormant
16,2024-04-22 23:00:50,557,1,285.40,122.08,285.400000,3,1,4,314,Established / Mid-value
17,2024-03-11 03:55:15,599,3,791.85,257.78,263.950000,3,3,5,335,Established / Mid-value
18,2024-10-16 13:36:30,380,4,805.64,95.62,201.410000,4,4,5,445,Champions
19,2021-05-06 09:14:00,1639,3,265.32,76.49,88.440000,1,3,4,134,High-value at Risk
20,2025-05-24 04:12:43,160,4,499.73,139.03,124.932500,5,4,5,545,Champions
22,2020-08-31 13:46:51,1887,1,169.83,60.97,169.830000,1,1,3,113,Dormant
23,2023-05-31 04:24:21,884,1,57.19,20.65,57.190000,2,1,1,211,Dormant
25,2025-03-22 15:09:44,223,2,318.95,120.91,159.475000,4,2,4,424,New / Promising
26,2023-05-08 22:18:11,907,1,5.93,1.65,5.930000,2,1,1,211,Dormant
27,2023-12-18 19:34:52,683,2,75.13,25.34,37.565000,3,2,2,322,Established / Mid-value
28,2020-08-25 23:11:23,1893,1,44.21,3.26,44.210000,1,1,1,111,Dormant
29,2020-10-15 07:15:05,1842,1,16.80,2.16,16.800000,1,1,1,111,Dormant
30,2025-02-15 20:12:20,258,2,369.64,61.69,184.820000,4,2,4,424,New / Promising
31,2025-08-14 01:31:31,78,2,296.48,89.38,148.240000,5,2,4,524,New / Promising
32,2023-05-22 12:53:14,893,1,75.05,31.93,75.050000,2,1,2,212,Dormant
34,2025-07-16 15:48:20,107,6,464.48,147.13,77.413333,5,5,5,555,Champions
35,2025-06-19 08:45:39,134,3,253.84,65.95,84.613333,5,3,3,533,Established / Mid-value
36,2023-10-05 22:05:24,757,3,183.79,38.97,61.263333,3,3,3,333,Established / Mid-value
37,2022-10-31 17:29:39,1096,2,239.33,57.95,119.665000,2,2,3,223,Dormant
39,2023-02-05 04:33:30,999,3,358.38,119.07,119.460000,2,3,4,234,High-value at Risk
40,2025-04-24 07:06:00,190,5,1025.31,355.26,205.062000,5,5,5,555,Champions
42,2023-04-06 14:58:17,939,2,63.13,21.40,31.565000,2,2,1,221,Dormant
43,2025-09-01 21:34:22,60,3,675.04,280.82,225.013333,5,3,5,535,Established / Mid-value
45,2024-07-27 08:01:52,461,3,383.31,96.80,127.770000,4,3,4,434,Established / Mid-value
46,2025-09-30 13:18:07,31,2,72.24,22.65,36.120000,5,2,1,521,New / Promising
48,2025-02-08 15:28:05,265,2,441.99,143.39,220.995000,4,2,5,425,New / Promising
49,2024-04-04 02:45:45,575,3,580.52,111.18,193.506667,3,3,5,335,Established / Mid-value
50,2021-04-03 20:59:19,1672,1,186.60,54.58,186.600000,1,1,3,113,Dormant
51,2025-09-18 23:26:09,43,2,267.34,84.37,133.670000,5,2,4,524,New / Promising
52,2023-07-20 18:01:58,834,2,108.40,24.31,54.200000,3,2,2,322,Established / Mid-value
54,2022-06-01 12:39:16,1248,2,180.43,51.06,90.215000,2,2,3,223,Dormant
55,2023-11-13 19:01:25,718,2,351.59,107.70,175.795000,3,2,4,324,Established / Mid-value
