order_id,product_id,category,customer_id,order_time,quantity,gross_item_revenue,item_cost,share_of_order_subtotal,allocated_discount,allocated_net_revenue,net_item_profit,net_item_margin
1,226,Home & Kitchen,13917,2025-01-31 23:07:42,1,107.15,65.65,1.000000,21.43000000,85.72000000,20.07000000,0.234134391041
2,771,Fashion,1022,2024-02-19 01:17:50,1,116.17,70.22,1.000000,0.00000000,116.17000000,45.95000000,0.395541017474
3,24,Electronics,6145,2024-12-04 20:24:13,1,42.86,27.37,0.312050,0.00000000,42.86000000,15.49000000,0.361409239384
3,415,Beauty,6145,2024-12-04 20:24:13,1,94.49,58.26,0.687950,0.00000000,94.49000000,36.23000000,0.383426817653
4,1157,Toys,3152,2024-07-17 08:50:47,1,32.18,22.43,1.000000,4.83000000,27.35000000,4.92000000,0.179890310786
5,745,Fashion,12378,2020-08-21 16:54:16,1,198.49,143.93,0.833676,0.00000000,198.49000000,54.56000000,0.274875308580
5,846,Fashion,12378,2020-08-21 16:54:16,1,39.60,22.98,0.166324,0.00000000,39.60000000,16.62000000,0.419696969697
6,123,Electronics,18712,2022-03-07 03:42:34,1,81.79,60.94,0.630901,0.00000000,81.79000000,20.85000000,0.254921139504
6,888,Books,18712,2022-03-07 03:42:34,1,47.85,25.88,0.369099,0.00000000,47.85000000,21.97000000,0.459143155695
7,348,Beauty,17224,2020-03-15 08:56:46,1,116.77,68.74,0.802819,17.51750705,99.25249295,30.51249295,0.307422937632
7,405,Beauty,17224,2020-03-15 08:56:46,1,5.63,3.22,0.038707,0.84459677,4.78540323,1.56540323,0.327120444143
7,442,Beauty,17224,2020-03-15 08:56:46,1,6.32,4.96,0.043451,0.94810863,5.37189137,0.41189137,0.076675297699
7,487,Beauty,17224,2020-03-15 08:56:46,1,16.73,11.60,0.115022,2.50978756,14.22021244,2.62021244,0.184259725448
8,949,Books,3448,2021-12-06 01:26:52,1,9.03,7.11,1.000000,0.00000000,9.03000000,1.92000000,0.212624584718
9,613,Sports,9132,2022-11-28 03:34:04,1,176.58,102.81,0.449370,35.31600000,141.26400000,38.45400000,0.272213727489
9,755,Fashion,9132,2022-11-28 03:34:04,1,150.53,90.02,0.383077,30.10600000,120.42400000,30.40400000,0.252474589783
9,1078,Toys,9132,2022-11-28 03:34:04,1,65.84,34.10,0.167553,13.16800000,52.67200000,18.57200000,0.352597205346
10,769,Fashion,14764,2023-03-15 10:06:17,1,9.69,7.62,1.000000,1.94000000,7.75000000,0.13000000,0.016774193548
11,1021,Books,14044,2025-03-12 02:48:39,3,55.77,41.97,1.000000,8.37000000,47.40000000,5.43000000,0.114556962025
12,653,Sports,1718,2020-12-06 00:41:12,1,59.27,41.30,0.475110,11.85400000,47.41600000,6.11600000,0.128985996288
12,735,Fashion,1718,2020-12-06 00:41:12,1,65.48,50.12,0.524890,13.09600000,52.38400000,2.26400000,0.043219303604
13,868,Books,16279,2020-05-10 10:18:59,1,29.29,17.82,1.000000,5.86000000,23.43000000,5.61000000,0.239436619718
14,882,Books,9009,2023-10-02 00:59:30,1,13.72,8.41,1.000000,0.00000000,13.72000000,5.31000000,0.387026239067
15,172,Home & Kitchen,16327,2022-04-23 14:28:19,1,170.53,91.39,0.702087,0.00000000,170.53000000,79.14000000,0.464082566117
15,877,Books,16327,2022-04-23 14:28:19,1,23.75,18.00,0.097781,0.00000000,23.75000000,5.75000000,0.242105263158
15,907,Books,16327,2022-04-23 14:28:19,1,48.61,36.75,0.200132,0.00000000,48.61000000,11.86000000,0.243982719605
16,566,Sports,8211,2023-05-13 14:56:47,1,71.73,48.16,0.286016,3.58664301,68.14335699,19.98335699,0.293254660068
16,631,Sports,8211,2023-05-13 14:56:47,1,179.06,116.28,0.713984,8.95335699,170.10664301,53.82664301,0.316428812288
17,911,Books,16729,2022-11-23 15:23:15,1,3.50,2.47,0.077916,0.52515583,2.97484417,0.50484417,0.169704408416
17,965,Books,16729,2022-11-23 15:23:15,1,41.42,21.97,0.922084,6.21484417,35.20515583,13.23515583,0.375943679781
18,232,Home & Kitchen,7968,2022-05-08 19:59:31,1,237.16,123.23,0.748162,35.57512224,201.58487776,78.35487776,0.388694224640
18,322,Home & Kitchen,7968,2022-05-08 19:59:31,1,79.83,54.90,0.251838,11.97487776,67.85512224,12.95512224,0.190923276126
19,77,Electronics,6528,2023-02-23 08:57:27,1,171.64,100.08,0.818464,34.32636307,137.31363693,37.23363693,0.271157605045
19,923,Books,6528,2023-02-23 08:57:27,1,38.07,28.78,0.181536,7.61363693,30.45636307,1.67636307,0.055041472488
20,908,Books,787,2021-07-19 08:11:27,2,12.80,9.10,1.000000,0.64000000,12.16000000,3.06000000,0.251644736842
21,410,Beauty,8489,2022-05-19 09:04:09,1,77.25,40.89,1.000000,15.45000000,61.80000000,20.91000000,0.338349514563
22,1057,Toys,4199,2025-01-18 22:07:52,1,54.28,40.76,1.000000,2.71000000,51.57000000,10.81000000,0.209617994958
23,1018,Books,16035,2024-08-25 12:22:01,1,22.41,15.89,1.000000,2.24000000,20.17000000,4.28000000,0.212196331185
24,156,Electronics,17730,2020-06-18 15:21:54,1,210.16,158.05,1.000000,0.00000000,210.16000000,52.11000000,0.247953939855
25,459,Beauty,10225,2024-11-06 00:36:27,1,112.12,67.18,0.372653,22.42250939,89.69749061,22.51749061,0.251038133362
25,497,Beauty,10225,2024-11-06 00:36:27,1,98.99,51.86,0.329013,19.79668395,79.19331605,27.33331605,0.345146754970
25,865,Books,10225,2024-11-06 00:36:27,1,13.81,9.47,0.045900,2.76181640,11.04818360,1.57818360,0.142845526209
25,1158,Toys,10225,2024-11-06 00:36:27,1,75.95,60.32,0.252435,15.18899026,60.76100974,0.44100974,0.007258104200
26,1009,Books,7679,2025-09-26 10:12:23,1,39.09,28.52,1.000000,0.00000000,39.09000000,10.57000000,0.270401637247
27,218,Home & Kitchen,9683,2020-11-17 01:34:56,1,211.39,168.16,0.348466,10.56897730,200.82102270,32.66102270,0.162637468234
27,262,Home & Kitchen,9683,2020-11-17 01:34:56,1,12.73,7.61,0.020985,0.63646852,12.09353148,4.48353148,0.370737983972
27,299,Home & Kitchen,9683,2020-11-17 01:34:56,1,231.31,137.43,0.381303,11.56492805,219.74507195,82.31507195,0.374593483347
27,666,Sports,9683,2020-11-17 01:34:56,1,151.20,96.81,0.249246,7.55962613,143.64037387,46.83037387,0.326025146052
28,278,Home & Kitchen,4760,2020-04-08 06:19:38,1,51.23,26.65,1.000000,0.00000000,51.23000000,24.58000000,0.479796993949
29,1051,Toys,3062,2022-12-29 09:37:33,1,11.03,8.11,0.295790,1.65346474,9.37653526,1.26653526,0.135074974378
29,1108,Toys,3062,2022-12-29 09:37:33,2,26.26,17.88,0.704210,3.93653526,22.32346474,4.44346474,0.199049063026
30,678,Sports,11356,2024-09-22 03:09:08,1,14.55,11.06,1.000000,1.45000000,13.10000000,2.04000000,0.155725190840
31,27,Electronics,6212,2021-04-20 19:29:41,1,75.93,48.20,0.301669,11.38799166,64.54200834,16.34200834,0.253199563514
31,170,Electronics,6212,2021-04-20 19:29:41,1,175.77,126.84,0.698331,26.36200834,149.40799166,22.56799166,0.151049427874
32,517,Sports,8312,2021-04-02 13:45:50,1,142.24,74.86,0.915492,21.34011971,120.89988029,46.03988029,0.380809974167
32,1108,Toys,8312,2021-04-02 13:45:50,1,13.13,8.94,0.084508,1.96988029,11.16011971,2.22011971,0.198933323987
33,769,Fashion,14299,2023-04-09 21:16:25,1,9.69,7.62,1.000000,0.00000000,9.69000000,2.07000000,0.213622291022
34,900,Books,4997,2021-08-29 04:48:29,2,9.56,6.22,0.658402,0.00000000,9.56000000,3.34000000,0.349372384937
34,995,Books,4997,2021-08-29 04:48:29,1,4.96,3.72,0.341598,0.00000000,4.96000000,1.24000000,0.250000000000
35,944,Books,8056,2020-04-12 05:00:17,1,18.98,11.66,1.000000,3.80000000,15.18000000,3.52000000,0.231884057971
36,351,Beauty,18051,2023-09-19 22:20:11,1,110.22,61.46,0.623240,22.04400000,88.17600000,26.71600000,0.302984939212
36,602,Sports,18051,2023-09-19 22:20:11,1,66.63,46.69,0.376760,13.32600000,53.30400000,6.61400000,0.124080744409
37,1065,Toys,18605,2020-07-26 05:21:03,1,22.01,15.15,0.752993,0.00000000,22.01000000,6.86000000,0.311676510677
37,1144,Toys,18605,2020-07-26 05:21:03,1,7.22,5.29,0.247007,0.00000000,7.22000000,1.93000000,0.267313019391
38,217,Home & Kitchen,10401,2024-09-21 09:05:37,1,122.23,72.55,1.000000,6.11000000,116.12000000,43.57000000,0.375215294523
39,411,Beauty,10741,2024-08-27 11:34:32,1,94.97,67.80,1.000000,4.75000000,90.22000000,22.42000000,0.248503657726
40,998,Books,415,2020-01-11 18:15:34,1,28.79,16.25,1.000000,0.00000000,28.79000000,12.54000000,0.435567905523
41,1138,Toys,17059,2025-02-12 00:48:51,1,22.74,17.29,1.000000,0.00000000,22.74000000,5.45000000,0.239665787159
42,424,Beauty,12755,2021-10-11 17:11:18,1,13.65,10.57,0.449309,0.00000000,13.65000000,3.08000000,0.225641025641
42,487,Beauty,12755,2021-10-11 17:11:18,1,16.73,11.60,0.550691,0.00000000,16.73000000,5.13000000,0.306634787806
43,514,Sports,3783,2021-08-27 16:09:42,1,66.53,48.24,0.461597,13.30784639,53.22215361,4.98215361,0.093610522537
43,588,Sports,3783,2021-08-27 16:09:42,1,77.60,49.14,0.538403,15.52215361,62.07784639,12.93784639,0.208413260807
44,1027,Toys,5066,2022-06-14 08:29:25,1,59.77,39.47,1.000000,0.00000000,59.77000000,20.30000000,0.339635268529
