order_id,customer_id,order_time,country,device,source,payment_method,discount_pct,gross_revenue,discount_amount,net_revenue,order_lines,total_units,total_product_cost,gross_profit_before_discount,net_profit,net_margin
1,13917,2025-01-31 23:07:42,PL,desktop,organic,card,20.00,107.15,21.43,85.72,1,1,65.65,41.50,20.07,0.234134
2,1022,2024-02-19 01:17:50,FR,tablet,organic,card,0.00,116.17,0.00,116.17,1,1,70.22,45.95,45.95,0.395541
3,6145,2024-12-04 20:24:13,US,mobile,organic,card,0.00,137.35,0.00,137.35,2,2,85.63,51.72,51.72,0.376556
4,3152,2024-07-17 08:50:47,BR,mobile,email,card,15.00,32.18,4.83,27.35,1,1,22.43,9.75,4.92,0.179890
5,12378,2020-08-21 16:54:16,NL,desktop,paid,card,0.00,238.09,0.00,238.09,2,2,166.91,71.18,71.18,0.298963
6,18712,2022-03-07 03:42:34,GB,mobile,paid,paypal,0.00,129.64,0.00,129.64,2,2,86.82,42.82,42.82,0.330299
7,17224,2020-03-15 08:56:46,JP,mobile,paid,wallet,15.00,145.45,21.82,123.63,4,4,88.52,56.93,35.11,0.283993
8,3448,2021-12-06 01:26:52,JP,desktop,direct,card,0.00,9.03,0.00,9.03,1,1,7.11,1.92,1.92,0.212625
9,9132,2022-11-28 03:34:04,IN,mobile,direct,card,20.00,392.95,78.59,314.36,3,3,226.93,166.02,87.43,0.278121
10,14764,2023-03-15 10:06:17,ES,mobile,organic,paypal,20.00,9.69,1.94,7.75,1,1,7.62,2.07,0.13,0.016774
11,14044,2025-03-12 02:48:39,US,mobile,direct,card,15.00,55.77,8.37,47.40,1,3,41.97,13.80,5.43,0.114557
12,1718,2020-12-06 00:41:12,FR,mobile,social,card,20.00,124.75,24.95,99.80,2,2,91.42,33.33,8.38,0.083968
13,16279,2020-05-10 10:18:59,GB,mobile,referral,card,20.00,29.29,5.86,23.43,1,1,17.82,11.47,5.61,0.239437
14,9009,2023-10-02 00:59:30,BR,tablet,direct,card,0.00,13.72,0.00,13.72,1,1,8.41,5.31,5.31,0.387026
15,16327,2022-04-23 14:28:19,GB,desktop,direct,card,0.00,242.89,0.00,242.89,3,3,146.14,96.75,96.75,0.398328
16,8211,2023-05-13 14:56:47,DE,mobile,direct,card,5.00,250.79,12.54,238.25,2,2,164.44,86.35,73.81,0.309801
17,16729,2022-11-23 15:23:15,SG,mobile,organic,paypal,15.00,44.92,6.74,38.18,2,2,24.44,20.48,13.74,0.359874
18,7968,2022-05-08 19:59:31,JP,desktop,paid,wallet,15.00,316.99,47.55,269.44,2,2,178.13,138.86,91.31,0.338888
19,6528,2023-02-23 08:57:27,MX,mobile,direct,card,20.00,209.71,41.94,167.77,2,2,128.86,80.85,38.91,0.231925
20,787,2021-07-19 08:11:27,NL,desktop,paid,paypal,5.00,12.80,0.64,12.16,1,2,9.10,3.70,3.06,0.251645
21,8489,2022-05-19 09:04:09,BR,tablet,organic,card,20.00,77.25,15.45,61.80,1,1,40.89,36.36,20.91,0.338350
22,4199,2025-01-18 22:07:52,US,desktop,organic,card,5.00,54.28,2.71,51.57,1,1,40.76,13.52,10.81,0.209618
23,16035,2024-08-25 12:22:01,NL,mobile,direct,paypal,10.00,22.41,2.24,20.17,1,1,15.89,6.52,4.28,0.212196
24,17730,2020-06-18 15:21:54,NL,mobile,organic,paypal,0.00,210.16,0.00,210.16,1,1,158.05,52.11,52.11,0.247954
25,10225,2024-11-06 00:36:27,US,mobile,paid,card,20.00,300.87,60.17,240.70,4,4,188.83,112.04,51.87,0.215496
26,7679,2025-09-26 10:12:23,DE,mobile,social,paypal,0.00,39.09,0.00,39.09,1,1,28.52,10.57,10.57,0.270402
27,9683,2020-11-17 01:34:56,NL,mobile,social,card,5.00,606.63,30.33,576.30,4,4,410.01,196.62,166.29,0.288548
28,4760,2020-04-08 06:19:38,US,mobile,organic,wallet,0.00,51.23,0.00,51.23,1,1,26.65,24.58,24.58,0.479797
29,3062,2022-12-29 09:37:33,US,desktop,organic,card,15.00,37.29,5.59,31.70,2,3,25.99,11.30,5.71,0.180126
30,11356,2024-09-22 03:09:08,US,desktop,organic,card,10.00,14.55,1.45,13.10,1,1,11.06,3.49,2.04,0.155725
31,6212,2021-04-20 19:29:41,AU,mobile,direct,card,15.00,251.70,37.75,213.95,2,2,175.04,76.66,38.91,0.181865
32,8312,2021-04-02 13:45:50,GB,mobile,organic,card,15.00,155.37,23.31,132.06,2,2,83.80,71.57,48.26,0.365440
33,14299,2023-04-09 21:16:25,SG,desktop,referral,card,0.00,9.69,0.00,9.69,1,1,7.62,2.07,2.07,0.213622
34,4997,2021-08-29 04:48:29,DE,desktop,paid,card,0.00,14.52,0.00,14.52,2,3,9.94,4.58,4.58,0.315427
35,8056,2020-04-12 05:00:17,BR,desktop,referral,paypal,20.00,18.98,3.80,15.18,1,1,11.66,7.32,3.52,0.231884
36,18051,2023-09-19 22:20:11,ZA,tablet,paid,card,20.00,176.85,35.37,141.48,2,2,108.15,68.70,33.33,0.235581
37,18605,2020-07-26 05:21:03,DE,mobile,referral,paypal,0.00,29.23,0.00,29.23,2,2,20.44,8.79,8.79,0.300718
38,10401,2024-09-21 09:05:37,SG,mobile,organic,card,5.00,122.23,6.11,116.12,1,1,72.55,49.68,43.57,0.375215
39,10741,2024-08-27 11:34:32,US,mobile,referral,card,5.00,94.97,4.75,90.22,1,1,67.80,27.17,22.42,0.248504
40,415,2020-01-11 18:15:34,FR,tablet,organic,paypal,0.00,28.79,0.00,28.79,1,1,16.25,12.54,12.54,0.435568
41,17059,2025-02-12 00:48:51,AE,tablet,social,wallet,0.00,22.74,0.00,22.74,1,1,17.29,5.45,5.45,0.239666
42,12755,2021-10-11 17:11:18,JP,desktop,email,card,0.00,30.38,0.00,30.38,2,2,22.17,8.21,8.21,0.270244
43,3783,2021-08-27 16:09:42,US,mobile,paid,card,20.00,144.13,28.83,115.30,2,2,97.38,46.75,17.92,0.155421
44,5066,2022-06-14 08:29:25,US,mobile,organic,card,0.00,59.77,0.00,59.77,1,1,39.47,20.30,20.30,0.339635
45,16286,2023-09-09 07:47:52,US,desktop,email,card,5.00,39.58,1.98,37.60,1,1,23.30,16.28,14.30,0.380319
46,2068,2025-01-28 09:22:19,JP,mobile,paid,card,5.00,320.97,16.05,304.92,3,3,229.82,91.15,75.10,0.246294
47,3540,2024-07-19 20:06:32,IN,mobile,email,card,5.00,46.78,2.34,44.44,1,1,32.44,14.34,12.00,0.270027
48,2303,2021-11-26 01:36:27,ES,mobile,social,paypal,10.00,53.05,5.31,47.74,2,5,29.97,23.08,17.77,0.372225
49,14378,2020-01-17 11:06:48,AE,tablet,email,wallet,15.00,46.78,7.02,39.76,1,1,32.44,14.34,7.32,0.184105
50,1398,2020-04-26 21:52:52,US,tablet,direct,card,20.00,83.10,16.62,66.48,1,1,55.62,27.48,10.86,0.163357
51,3240,2022-03-09 15:25:28,FR,mobile,direct,card,5.00,89.51,4.48,85.03,2,2,67.15,22.36,17.88,0.210279
52,19199,2020-08-26 13:03:52,CA,desktop,email,card,10.00,249.90,24.99,224.91,4,4,181.12,68.78,43.79,0.194700
53,1233,2020-08-30 23:30:03,IN,mobile,direct,paypal,20.00,52.91,10.58,42.33,2,2,35.59,17.32,6.74,0.159225
54,12908,2022-07-31 06:30:51,MX,mobile,direct,card,0.00,247.72,0.00,247.72,2,2,148.00,99.72,99.72,0.402551
55,4933,2020-10-12 06:32:03,IN,desktop,paid,card,15.00,19.89,2.98,16.91,1,1,15.42,4.47,1.49,0.088114
56,15900,2023-10-20 21:27:35,SG,desktop,paid,card,20.00,116.16,23.23,92.93,2,2,81.84,34.32,11.09,0.119337
57,16181,2020-04-15 13:01:50,US,mobile,direct,paypal,20.00,115.03,23.01,92.02,2,2,71.27,43.76,20.75,0.225494
58,1727,2021-09-05 10:05:55,CA,mobile,paid,wallet,10.00,81.98,8.20,73.78,1,1,65.26,16.72,8.52,0.115478
59,10778,2023-06-22 05:38:53,IN,desktop,direct,paypal,0.00,88.58,0.00,88.58,3,3,59.23,29.35,29.35,0.331339
60,8099,2024-08-23 09:05:28,BR,mobile,organic,card,0.00,567.53,0.00,567.53,4,6,391.75,175.78,175.78,0.309728
61,9416,2022-06-02 19:34:55,FR,mobile,referral,wallet,0.00,35.74,0.00,35.74,1,1,25.54,10.20,10.20,0.285395
62,17593,2022-12-07 09:25:05,JP,desktop,organic,card,5.00,255.56,12.78,242.78,2,2,193.14,62.42,49.64,0.204465
63,9297,2024-02-17 20:01:01,US,desktop,organic,paypal,20.00,20.57,4.11,16.46,1,1,13.15,7.42,3.31,0.201094
64,4821,2024-09-20 15:10:28,US,mobile,organic,paypal,20.00,43.27,8.65,34.62,1,1,30.91,12.36,3.71,0.107163
65,19024,2025-01-28 11:11:04,US,desktop,organic,card,5.00,34.22,1.71,32.51,1,1,24.37,9.85,8.14,0.250384
66,9816,2021-05-12 13:28:09,SE,mobile,paid,card,0.00,165.82,0.00,165.82,2,2,101.90,63.92,63.92,0.385478
67,16898,2024-12-03 08:46:58,AU,desktop,direct,card,0.00,85.54,0.00,85.54,1,1,61.04,24.50,24.50,0.286416
68,11703,2024-05-23 05:14:40,GB,mobile,social,card,10.00,97.78,9.78,88.00,2,2,74.23,23.55,13.77,0.156477
69,18014,2025-08-23 16:11:37,FR,mobile,direct,card,0.00,134.41,0.00,134.41,3,3,72.61,61.80,61.80,0.459787
70,6404,2022-08-25 00:13:55,FR,mobile,organic,card,0.00,163.23,0.00,163.23,1,3,84.39,78.84,78.84,0.482999
71,17829,2023-06-23 02:54:15,CA,desktop,organic,paypal,20.00,79.62,15.92,63.70,1,1,57.42,22.20,6.28,0.098587
72,12725,2022-06-25 11:03:07,MX,mobile,organic,paypal,20.00,27.05,5.41,21.64,1,1,20.22,6.83,1.42,0.065619
73,18250,2020-07-16 04:49:38,CA,desktop,direct,card,0.00,176.61,0.00,176.61,2,2,120.90,55.71,55.71,0.315441
74,6338,2021-04-01 23:07:05,DE,mobile,social,card,0.00,39.03,0.00,39.03,2,3,25.01,14.02,14.02,0.359211
75,1865,2023-04-19 22:29:21,ZA,mobile,direct,paypal,20.00,524.05,104.81,419.24,4,11,351.68,172.37,67.56,0.161149
76,554,2024-10-28 07:39:52,FR,mobile,email,card,5.00,534.98,26.75,508.23,4,8,314.37,220.61,193.86,0.381441
77,16448,2020-10-23 10:02:49,BR,mobile,referral,card,5.00,603.25,30.16,573.09,4,7,437.68,165.57,135.41,0.236281
78,7140,2020-08-01 05:56:47,US,mobile,referral,card,0.00,36.07,0.00,36.07,2,2,20.32,15.75,15.75,0.436651
79,8567,2021-02-19 19:25:54,CA,mobile,direct,card,0.00,317.80,0.00,317.80,1,4,249.12,68.68,68.68,0.216111
80,5958,2025-05-29 07:21:42,US,desktop,organic,wallet,0.00,29.12,0.00,29.12,1,1,19.02,10.10,10.10,0.346841
81,1780,2020-11-03 00:53:28,MX,desktop,social,card,0.00,116.76,0.00,116.76,1,4,84.72,32.04,32.04,0.274409
82,18691,2020-02-04 02:35:56,IN,mobile,organic,card,10.00,39.46,3.95,35.51,2,4,28.14,11.32,7.37,0.207547
83,18482,2020-05-27 09:48:30,CA,mobile,paid,card,5.00,17.19,0.86,16.33,1,1,12.06,5.13,4.27,0.261482
84,19039,2023-12-31 15:13:43,SE,desktop,social,card,5.00,50.15,2.51,47.64,1,1,34.70,15.45,12.94,0.271620
85,12939,2025-04-28 10:04:16,AU,mobile,social,paypal,0.00,43.05,0.00,43.05,1,1,25.62,17.43,17.43,0.404878
86,11675,2023-08-11 01:20:53,SG,tablet,direct,card,0.00,371.39,0.00,371.39,3,5,226.05,145.34,145.34,0.391341
87,12175,2023-02-01 21:48:43,MX,mobile,organic,card,15.00,19.89,2.98,16.91,1,1,15.42,4.47,1.49,0.088114
88,6032,2021-02-24 05:32:05,NL,tablet,organic,wallet,5.00,312.90,15.65,297.25,4,4,200.88,112.02,96.37,0.324205
89,12069,2021-01-27 00:42:31,IN,mobile,referral,card,15.00,93.58,14.04,79.54,2,2,68.46,25.12,11.08,0.139301
90,6111,2021-09-02 16:34:09,IN,tablet,referral,card,15.00,66.53,9.98,56.55,1,1,48.24,18.29,8.31,0.146950
91,10450,2025-03-05 19:13:17,NL,desktop,email,card,20.00,151.42,30.28,121.14,4,6,99.24,52.18,21.90,0.180783
92,9407,2021-04-05 03:53:20,JP,desktop,organic,card,20.00,47.41,9.48,37.93,1,1,30.27,17.14,7.66,0.201951
93,5925,2024-11-01 08:53:15,US,mobile,direct,card,10.00,483.34,48.33,435.01,5,9,375.57,107.77,59.44,0.136641
94,6369,2023-01-18 13:10:44,DE,tablet,organic,card,20.00,24.33,4.87,19.46,1,1,14.53,9.80,4.93,0.253340
95,19484,2025-09-09 12:38:15,MX,desktop,organic,card,0.00,90.96,0.00,90.96,1,4,69.16,21.80,21.80,0.239666
96,5418,2022-06-04 03:21:30,DE,mobile,organic,card,20.00,49.06,9.81,39.25,1,1,30.29,18.77,8.96,0.228280
97,18429,2022-07-18 19:43:42,PL,mobile,paid,card,0.00,68.47,0.00,68.47,2,2,38.07,30.40,30.40,0.443990
98,1729,2022-05-17 14:54:47,US,tablet,organic,card,0.00,81.86,0.00,81.86,2,2,43.25,38.61,38.61,0.471659
99,9147,2024-05-19 13:47:01,BR,mobile,organic,card,0.00,61.97,0.00,61.97,2,4,36.55,25.42,25.42,0.410198
100,16121,2023-03-29 10:41:47,AU,mobile,email,paypal,5.00,62.27,3.11,59.16,2,3,44.07,18.20,15.09,0.255071
101,4443,2021-06-07 04:28:25,JP,desktop,organic,wallet,0.00,168.51,0.00,168.51,3,5,104.40,64.11,64.11,0.380452
