country,orders,purchasing_customers,net_revenue,revenue_share,aov,net_margin
US,6138,2979,823420.19,0.183258,134.151220,0.306015
GB,2653,1273,355863.06,0.079200,134.136095,0.302067
IN,2642,1279,345574.03,0.076910,130.800163,0.302410
BR,2464,1195,323063.65,0.071900,131.113494,0.305229
DE,2321,1143,297669.52,0.066249,128.250547,0.307754
FR,2188,1049,297325.36,0.066172,135.889104,0.309479
MX,2022,985,275336.06,0.061278,136.170158,0.302192
AU,1797,848,242263.71,0.053918,134.815643,0.309837
CA,1651,812,220944.75,0.049173,133.824803,0.301795
ES,1558,757,213972.24,0.047621,137.337766,0.306592
JP,1655,798,212977.60,0.047400,128.687372,0.304962
NL,1491,727,205932.62,0.045832,138.117116,0.305433
SG,1379,647,181646.85,0.040427,131.723604,0.305438
PL,1014,490,143551.68,0.031949,141.569704,0.303243
SE,1029,518,137347.50,0.030568,133.476676,0.301704
AE,913,447,119886.00,0.026682,131.309967,0.306486
ZA,665,321,96442.65,0.021464,145.026541,0.301760
