order_month,orders,units,gross_revenue,discount_amount,net_revenue,net_profit,aov,net_margin,mom_net_revenue_growth,yoy_net_revenue_growth,yoy_order_growth,yoy_aov_growth
2020-01-01,505,1201,73241.02,5642.14,67598.88,20437.87,133.859168,0.302340,NULL,NULL,NULL,NULL
2020-02-01,458,1103,65282.52,4123.70,61158.82,18706.00,133.534541,0.305859,-0.095269,NULL,NULL,NULL
2020-03-01,465,1031,67692.22,5202.36,62489.86,18405.80,134.386796,0.294541,0.021764,NULL,NULL,NULL
2020-04-01,470,1085,70273.86,5245.62,65028.24,19878.20,138.357957,0.305686,0.040621,NULL,NULL,NULL
2020-05-01,488,1114,64901.98,4945.88,59956.10,18430.41,122.860861,0.307398,-0.077999,NULL,NULL,NULL
2020-06-01,459,1070,68968.16,4467.11,64501.05,19926.04,140.525163,0.308926,0.075805,NULL,NULL,NULL
2020-07-01,454,972,57597.90,3796.80,53801.10,16557.82,118.504626,0.307760,-0.165888,NULL,NULL,NULL
2020-08-01,475,1081,66056.00,5805.53,60250.47,17594.24,126.843095,0.292018,0.119874,NULL,NULL,NULL
2020-09-01,458,1076,69529.93,5691.60,63838.33,19232.39,139.385000,0.301267,0.059549,NULL,NULL,NULL
2020-10-01,518,1201,73384.62,5068.27,68316.35,20928.30,131.884846,0.306344,0.070146,NULL,NULL,NULL
2020-11-01,441,993,63387.68,5072.38,58315.30,17103.56,132.234240,0.293295,-0.146393,NULL,NULL,NULL
2020-12-01,468,1064,68660.65,4824.38,63836.27,20002.92,136.402286,0.313347,0.094674,NULL,NULL,NULL
2021-01-01,502,1181,74282.05,4870.37,69411.68,21073.29,138.270279,0.303599,0.087339,0.026817,-0.0059,0.0329533723
2021-02-01,458,1020,64474.80,4709.15,59765.65,18238.91,130.492686,0.305174,-0.138968,-0.022780,0.0000,-0.0227795369
2021-03-01,493,1140,72415.83,4649.94,67765.89,20473.56,137.456166,0.302122,0.133860,0.084430,0.0602,0.0228398183
2021-04-01,459,1102,69908.79,5295.02,64613.77,19129.28,140.770741,0.296056,-0.046515,-0.006374,-0.0234,0.0174387079
2021-05-01,493,1080,67509.20,4759.12,62750.08,19097.54,127.282110,0.304343,-0.028844,0.046600,0.0102,0.0359858214
2021-06-01,460,1103,69931.07,5534.87,64396.20,18750.74,139.991739,0.291178,0.026233,-0.001626,0.0022,-0.0037959323
2021-07-01,514,1187,82129.83,5655.44,76474.39,23010.51,148.782860,0.300892,0.187561,0.421428,0.1322,0.2555025489
2021-08-01,493,1066,66686.06,4676.36,62009.70,19000.17,125.780325,0.306406,-0.189144,0.029199,0.0379,-0.0083786193
2021-09-01,483,1038,64218.71,4695.98,59522.73,18142.29,123.235466,0.304796,-0.040106,-0.067602,0.0546,-0.1158627829
2021-10-01,491,1147,70796.49,4814.39,65982.10,20084.65,134.383096,0.304395,0.108519,-0.034168,-0.0521,0.0189426615
2021-11-01,480,1112,70418.62,4368.33,66050.29,21117.92,137.604771,0.319725,0.001033,0.132641,0.0884,0.0406137699
2021-12-01,505,1154,72526.84,5194.66,67332.18,20188.86,133.331050,0.299840,0.019408,0.054764,0.0791,-0.0225160156
2022-01-01,501,1125,67338.77,4331.77,63007.00,18875.83,125.762475,0.299583,-0.064236,-0.092271,-0.0020,-0.0904590928
2022-02-01,436,991,58917.39,4567.24,54350.15,15944.55,124.656307,0.293367,-0.137395,-0.090612,-0.0480,-0.0447257174
2022-03-01,497,1133,70133.20,5468.30,64664.90,19265.03,130.110463,0.297921,0.189783,-0.045760,0.0081,-0.0534403309
2022-04-01,452,1014,60677.89,4144.65,56533.24,17236.75,125.073540,0.304896,-0.125751,-0.125059,-0.0153,-0.1115089747
2022-05-01,474,1115,73484.59,5687.64,67796.95,20527.26,143.031540,0.302776,0.199240,0.080428,-0.0385,0.1237363994
2022-06-01,448,1026,63292.70,4710.61,58582.09,17013.06,130.763594,0.290414,-0.135919,-0.090287,-0.0261,-0.0659192111
2022-07-01,493,1118,75910.72,5719.17,70191.55,21094.61,142.376369,0.300529,0.198174,-0.082156,-0.0409,-0.0430593349
2022-08-01,522,1184,76473.42,5221.81,71251.61,22575.18,136.497337,0.316837,0.015102,0.149040,0.0588,0.0852042003
2022-09-01,437,1016,66430.53,4279.58,62150.95,19369.87,142.221854,0.311658,-0.127726,0.044155,-0.0952,0.1540659407
2022-10-01,474,1089,67742.10,4243.86,63498.24,20123.87,133.962532,0.316920,0.021678,-0.037644,-0.0346,-0.0031295900
2022-11-01,487,1116,69398.59,4994.44,64404.15,19574.00,132.246715,0.303925,0.014267,-0.024923,0.0146,-0.0389380104
2022-12-01,478,1134,68469.60,5174.26,63295.34,19531.40,132.417029,0.308576,-0.017216,-0.059954,-0.0535,-0.0068552749
2023-01-01,513,1245,77909.64,5014.36,72895.28,22835.54,142.096062,0.313265,0.151669,0.156939,0.0240,0.1298764755
2023-02-01,422,902,56438.26,3898.94,52539.32,16473.67,124.500758,0.313549,-0.279249,-0.033318,-0.0321,-0.0012478229
2023-03-01,483,1137,70364.37,5049.21,65315.16,19960.22,135.228075,0.305599,0.243167,0.010056,-0.0282,0.0393328244
2023-04-01,486,1126,65390.15,4934.22,60455.93,18423.13,124.394918,0.304737,-0.074397,0.069387,0.0752,-0.0054257839
2023-05-01,470,1089,68196.98,4437.58,63759.40,20259.07,135.658298,0.317742,0.054643,-0.059554,-0.0084,-0.0515497631
